,previous_5_turn,question,next_5_turn,categorie,annotateur
109,#spk3 spk1 : l'enseignement de l'Etat // oui | #spk3 : par exemple euh // peut-ètre des rapports avec le ministère | #spk1 : hm // oui lorsque je vous ai parlé tout à l'heure de euh // de de cette question de reprise en main par l'Etat d'un certain nombre de services qui étaient autrefois accomplis par l'Eglise // euh je vous ai d- fait une petite incise n'est-ce pas ? // et j'ai bien dit que euh il y avait encore énormément de services privés qui rendaient // une service d'intérèt national // moyennant quoi // euh l'Etat se trouvait lié // parce que c'était un service réel de de la nation // lié à des obligations // alors la question que vous me posez // elle est évidemment très très nette // euh je dirais que je la connais plus particulièrement par coeur celle-là parce que // je je m'occupe de la direction de l'enseignement libre ici à Orléans // et que si vous me la posez comme ça c'est bien parce que vous savez ce que sans doute que je m'occupe de la question // mais euh | #spk3 : je l'aurais posée de toute façon | #spk1 spk2 : oui mais,qui fait la suppléance et qui fait de droit l'essentiel ?,#spk3 : hm // en effet je vous remercie de l'avoir exposée | #spk1 spk3 : d'une façon si inattendue | #spk3 : et si euh saisissante | #spk1 : voilà la philosophie de base | #spk3 : qui est d'ailleurs la partie la plus intéressante,spontané,Martin
110,#spk4 : oh si quand mème enfin euh // ce que nous cherchons surtout cette fois // ce sont des // témoignages // des personnalités // de la ville | #spk1 spk4 : oui // qui peuvent euh | #spk4 : nous orienter // sur certains secteurs // de l'activité // | #spk1 : oui mais il y a du bruit ici | #spk4 : oui c'est vrai que nous ne cherchons pas,k1 : non y a du bruit ici hein non ?,#spk1 : ça ne vous gène pas ? | #spk1 : hm si | #spk1 spk4 : non ? // si | #spk4 : enfin un petit peu mais // euh | #spk1 : on peut aller dans une autre salle si vous voulez // une salle oùl- oùil n'y aurait pas de bruit hein // ça vaudrait mieux je crois,spontané,Martin
111,#spk1 spk4 : oui // qui peuvent euh | #spk4 : nous orienter // sur certains secteurs // de l'activité // | #spk1 : oui mais il y a du bruit ici | #spk4 : oui c'est vrai que nous ne cherchons pas | #spk4 spk1 : des interviews euh enfin pas des // non y a du bruit ici hein non ?,ça ne vous gène pas ?,#spk1 : hm si | #spk1 spk4 : non ? // si | #spk4 : enfin un petit peu mais // euh | #spk1 : on peut aller dans une autre salle si vous voulez // une salle oùl- oùil n'y aurait pas de bruit hein // ça vaudrait mieux je crois | #spk4 spk1 : euh ça vaudrait mieux s'il y a une oui oui merci beaucoup // oui je crois oui oui oui on va aller dans une autre salle,spontané,Martin
112,#spk4 spk1 : parliez // bon | #spk4 : je vous présente madame NPERS | #spk4 spk1 : très heureux madame | #spk4 : faut pas faut pas bouger à présent hein // c'est elle qui va vous poser | #spk4 spk1 : la plupart des questions // bien,ah bonjour monsieur c'est pour des renseignements au point de vue militaire ?,#spk5 : oui | #spk1 : bon // ils sont en train de faire les déménageurs // euh est-ce que ça vous ennuierait de revenir vers la fin de l'après-midi ? | #spk5 : bien | #spk1 spk5 : hein s'il vous plaît // pas du tout | #spk1 : bah ils donnent un coup de main // pour déménager le bureau qui va s'en aller // je pense que // vers euh cinq heures ils seront là hein // cinq heures et demie cinq heures et demie,spontané,Martin
113,#spk5 : oui | #spk1 : voilà bonsoir monsieur | #spk5 : merci | #spk4 : je voudrais vous demander euh de combien de temps vous disposez | #spk1 : oh ça va ça va // ça va ça va ça va,k4 : vous ètes sûr ? parce que je sais que,#spk1 : j'ai deux documentalistes aujourd'hui ça va très bien | #spk4 : ah bon ? | #spk1 spk4 : ça va très bien // parce que c'est une époque de l'année | #spk1 : ah bah oui les parents sont affolés ils viennent oui bien sûr | #spk4 : oui oui // oui alors je pense qu'on pourrait // commencer,spontané,Martin
114,#spk1 spk4 : ça va très bien // parce que c'est une époque de l'année | #spk1 : ah bah oui les parents sont affolés ils viennent oui bien sûr | #spk4 : oui oui // oui alors je pense qu'on pourrait // commencer | #spk4 spk2 : si vous acceptez // bon alors euh | #spk1 spk2 : oui // est-ce,et le Centre d'Orientation Scolaire et Professionnelle ?,#spk1 : oui // ce sont deux organismes qui sont en réalité // complémentaires // quand une euh // famille // ou un élève // a besoin de // renseignements seulement d'informations // sur les écoles // sur les carrières // sur les professions // les débouchés la durée des études le prix des études et cetera // le Bus // est compétent pour y répondre // lorsqu'il s'agit // de faire une recherche // psychologique // d'étudier un enfant // non seulement sur le plan // de ses résultats scolaires // mais // de ses aptitudes intellectuelles ou caractérielles // à ce moment-là // il existe un service qui s'appelle l'orientation scolaire et professionnelle // qui utilise des moyens psychologiques particuliers // tels que les tests par exemple ou les entretiens // pardon // voyez-vous // c'est cela la différence si bien que quand il s'agit simplement d'information de documentation // le Bus // est capable de la donner | #spk1 spk2 : vous avez vu nos dossiers dans la grande salle // hm oui | #spk1 : n'est-ce pas ? // et au contraire s'il y a par exemple une difficulté // prenons un exemple // un garçon tout à l'heure je vois un garçon // euh vient me trouver monsieur je suis reçu au baccalauréat // j'ai une mention bien je voudrais faire de la biologie // bon // il va faire de la biologie // il est reçu // il est en bonne santé // tout va bien il a un âge normal il a bachot bien réussi // je lui donne des indications // sur les études de biologie de biochimie de bactériologie // de géologie de sciences naturelles // les écoles oùil peut aller les facultés les // les licences les // maîtrises et cetera // c'est suffisant c'est tout // il n'a pas besoin d'aller à l'orientation professionnelle et scolaire // par contre // si je vois un élève // euh bah voilà monsieur les études n'ont pas très bien marché // moi je suis je sors de troisième // mais // euh ben euh je m'entends pas bien avec les professeurs ou avec maman // et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français // ou pas du tout en maths et puis // euh ben je ne suis pas admis à passer en seconde s- // bon puis j'arrive d'Algérie par exemple ou // euh j'ai déménagé j'ai été malade // bon // alors là il faut absolument voir // les aptitudes de l'enfant // faut l'étudier un point de vue psychologique voyez-vous ? // pour voir si c'est une blessure caractérielle superficielle ou profonde // si y a un conflit avec des parents ou avec des professeurs // si euh // si les aptitudes // coïncident avec le résultat scolaire // sont meilleures ou sont moins bonnes // et à ce moment-là // les // conseillers d'orientation professionnels de l'orientation // ont des moyens d'investigation // particuliers | #spk1 spk2 : psychologiques oui ? // vous vous | #spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ?,spontané,Martin
115,#spk4 spk2 : si vous acceptez // bon alors euh | #spk1 spk2 : oui // est-ce | #spk2 : que vous voudrez d'abord monsieur // nous expliquer un peu // euh la différence // du point de vue des parents // entre le Bus // et le Centre d'Orientation Scolaire et Professionnelle ? | #spk1 : oui // ce sont deux organismes qui sont en réalité // complémentaires // quand une euh // famille // ou un élève // a besoin de // renseignements seulement d'informations // sur les écoles // sur les carrières // sur les professions // les débouchés la durée des études le prix des études et cetera // le Bus // est compétent pour y répondre // lorsqu'il s'agit // de faire une recherche // psychologique // d'étudier un enfant // non seulement sur le plan // de ses résultats scolaires // mais // de ses aptitudes intellectuelles ou caractérielles // à ce moment-là // il existe un service qui s'appelle l'orientation scolaire et professionnelle // qui utilise des moyens psychologiques particuliers // tels que les tests par exemple ou les entretiens // pardon // voyez-vous // c'est cela la différence si bien que quand il s'agit simplement d'information de documentation // le Bus // est capable de la donner | #spk1 spk2 : vous avez vu nos dossiers dans la grande salle // hm oui,faut l'étudier un point de vue psychologique voyez-vous ?,#spk1 spk2 : psychologiques oui ? // vous vous | #spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ? | #spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est | #spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr,spontané,Martin
116,#spk1 spk2 : oui // est-ce | #spk2 : que vous voudrez d'abord monsieur // nous expliquer un peu // euh la différence // du point de vue des parents // entre le Bus // et le Centre d'Orientation Scolaire et Professionnelle ? | #spk1 : oui // ce sont deux organismes qui sont en réalité // complémentaires // quand une euh // famille // ou un élève // a besoin de // renseignements seulement d'informations // sur les écoles // sur les carrières // sur les professions // les débouchés la durée des études le prix des études et cetera // le Bus // est compétent pour y répondre // lorsqu'il s'agit // de faire une recherche // psychologique // d'étudier un enfant // non seulement sur le plan // de ses résultats scolaires // mais // de ses aptitudes intellectuelles ou caractérielles // à ce moment-là // il existe un service qui s'appelle l'orientation scolaire et professionnelle // qui utilise des moyens psychologiques particuliers // tels que les tests par exemple ou les entretiens // pardon // voyez-vous // c'est cela la différence si bien que quand il s'agit simplement d'information de documentation // le Bus // est capable de la donner | #spk1 spk2 : vous avez vu nos dossiers dans la grande salle // hm oui | #spk1 : n'est-ce pas ? // et au contraire s'il y a par exemple une difficulté // prenons un exemple // un garçon tout à l'heure je vois un garçon // euh vient me trouver monsieur je suis reçu au baccalauréat // j'ai une mention bien je voudrais faire de la biologie // bon // il va faire de la biologie // il est reçu // il est en bonne santé // tout va bien il a un âge normal il a bachot bien réussi // je lui donne des indications // sur les études de biologie de biochimie de bactériologie // de géologie de sciences naturelles // les écoles oùil peut aller les facultés les // les licences les // maîtrises et cetera // c'est suffisant c'est tout // il n'a pas besoin d'aller à l'orientation professionnelle et scolaire // par contre // si je vois un élève // euh bah voilà monsieur les études n'ont pas très bien marché // moi je suis je sors de troisième // mais // euh ben euh je m'entends pas bien avec les professeurs ou avec maman // et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français // ou pas du tout en maths et puis // euh ben je ne suis pas admis à passer en seconde s- // bon puis j'arrive d'Algérie par exemple ou // euh j'ai déménagé j'ai été malade // bon // alors là il faut absolument voir // les aptitudes de l'enfant // faut l'étudier un point de vue psychologique voyez-vous ? // pour voir si c'est une blessure caractérielle superficielle ou profonde // si y a un conflit avec des parents ou avec des professeurs // si euh // si les aptitudes // coïncident avec le résultat scolaire // sont meilleures ou sont moins bonnes // et à ce moment-là // les // conseillers d'orientation professionnels de l'orientation // ont des moyens d'investigation // particuliers,k2 : psychologiques oui ?,#spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ? | #spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est | #spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr | #spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles,spontané,Martin
117,#spk2 : que vous voudrez d'abord monsieur // nous expliquer un peu // euh la différence // du point de vue des parents // entre le Bus // et le Centre d'Orientation Scolaire et Professionnelle ? | #spk1 : oui // ce sont deux organismes qui sont en réalité // complémentaires // quand une euh // famille // ou un élève // a besoin de // renseignements seulement d'informations // sur les écoles // sur les carrières // sur les professions // les débouchés la durée des études le prix des études et cetera // le Bus // est compétent pour y répondre // lorsqu'il s'agit // de faire une recherche // psychologique // d'étudier un enfant // non seulement sur le plan // de ses résultats scolaires // mais // de ses aptitudes intellectuelles ou caractérielles // à ce moment-là // il existe un service qui s'appelle l'orientation scolaire et professionnelle // qui utilise des moyens psychologiques particuliers // tels que les tests par exemple ou les entretiens // pardon // voyez-vous // c'est cela la différence si bien que quand il s'agit simplement d'information de documentation // le Bus // est capable de la donner | #spk1 spk2 : vous avez vu nos dossiers dans la grande salle // hm oui | #spk1 : n'est-ce pas ? // et au contraire s'il y a par exemple une difficulté // prenons un exemple // un garçon tout à l'heure je vois un garçon // euh vient me trouver monsieur je suis reçu au baccalauréat // j'ai une mention bien je voudrais faire de la biologie // bon // il va faire de la biologie // il est reçu // il est en bonne santé // tout va bien il a un âge normal il a bachot bien réussi // je lui donne des indications // sur les études de biologie de biochimie de bactériologie // de géologie de sciences naturelles // les écoles oùil peut aller les facultés les // les licences les // maîtrises et cetera // c'est suffisant c'est tout // il n'a pas besoin d'aller à l'orientation professionnelle et scolaire // par contre // si je vois un élève // euh bah voilà monsieur les études n'ont pas très bien marché // moi je suis je sors de troisième // mais // euh ben euh je m'entends pas bien avec les professeurs ou avec maman // et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français // ou pas du tout en maths et puis // euh ben je ne suis pas admis à passer en seconde s- // bon puis j'arrive d'Algérie par exemple ou // euh j'ai déménagé j'ai été malade // bon // alors là il faut absolument voir // les aptitudes de l'enfant // faut l'étudier un point de vue psychologique voyez-vous ? // pour voir si c'est une blessure caractérielle superficielle ou profonde // si y a un conflit avec des parents ou avec des professeurs // si euh // si les aptitudes // coïncident avec le résultat scolaire // sont meilleures ou sont moins bonnes // et à ce moment-là // les // conseillers d'orientation professionnels de l'orientation // ont des moyens d'investigation // particuliers | #spk1 spk2 : psychologiques oui ? // vous vous,par euh aptitudes ?,#spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est | #spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr | #spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles | #spk2 : hm,spontané,Martin
118,#spk1 spk2 : vous avez vu nos dossiers dans la grande salle // hm oui | #spk1 : n'est-ce pas ? // et au contraire s'il y a par exemple une difficulté // prenons un exemple // un garçon tout à l'heure je vois un garçon // euh vient me trouver monsieur je suis reçu au baccalauréat // j'ai une mention bien je voudrais faire de la biologie // bon // il va faire de la biologie // il est reçu // il est en bonne santé // tout va bien il a un âge normal il a bachot bien réussi // je lui donne des indications // sur les études de biologie de biochimie de bactériologie // de géologie de sciences naturelles // les écoles oùil peut aller les facultés les // les licences les // maîtrises et cetera // c'est suffisant c'est tout // il n'a pas besoin d'aller à l'orientation professionnelle et scolaire // par contre // si je vois un élève // euh bah voilà monsieur les études n'ont pas très bien marché // moi je suis je sors de troisième // mais // euh ben euh je m'entends pas bien avec les professeurs ou avec maman // et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français // ou pas du tout en maths et puis // euh ben je ne suis pas admis à passer en seconde s- // bon puis j'arrive d'Algérie par exemple ou // euh j'ai déménagé j'ai été malade // bon // alors là il faut absolument voir // les aptitudes de l'enfant // faut l'étudier un point de vue psychologique voyez-vous ? // pour voir si c'est une blessure caractérielle superficielle ou profonde // si y a un conflit avec des parents ou avec des professeurs // si euh // si les aptitudes // coïncident avec le résultat scolaire // sont meilleures ou sont moins bonnes // et à ce moment-là // les // conseillers d'orientation professionnels de l'orientation // ont des moyens d'investigation // particuliers | #spk1 spk2 : psychologiques oui ? // vous vous | #spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ? | #spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement,voyez-vous ? grâce à des procédés justement on leur fait,#spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr | #spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles | #spk2 : hm | #spk1 : voilà ce qu'on appelle les aptitudes // autrement dit un élève peut ètre // intelligent et mauvais élève en classe // bon y a quelquefois ça ne marche pas // un test nous dira voilà // c'est un élève intelligent // bon il est le dernier de la classe il veut pas tr- // il il ne veut pas travailler ça arrive quelquefois // alors // faut savoir // si on doit l'encourager à faire des études // si les aptitudes de l'enfant // son intelligence hein // sont meilleures que ses résultats scolaires // hein ça vaut la peine // de s'accrocher // comme on dit familièrement n'est-ce pas ? // pour la poursuite d'études // si au contraire on s'aperçoit que // vraiment les aptitudes intellectuelles sont à la hauteur de // des résultats scolaires // bah il y a lieu d'envisager des débouchés plus // modestes // vous voyez c'est ça c'est à ça ce que ça sert | #spk2 : hm hm,spontané,Martin
119,#spk1 : n'est-ce pas ? // et au contraire s'il y a par exemple une difficulté // prenons un exemple // un garçon tout à l'heure je vois un garçon // euh vient me trouver monsieur je suis reçu au baccalauréat // j'ai une mention bien je voudrais faire de la biologie // bon // il va faire de la biologie // il est reçu // il est en bonne santé // tout va bien il a un âge normal il a bachot bien réussi // je lui donne des indications // sur les études de biologie de biochimie de bactériologie // de géologie de sciences naturelles // les écoles oùil peut aller les facultés les // les licences les // maîtrises et cetera // c'est suffisant c'est tout // il n'a pas besoin d'aller à l'orientation professionnelle et scolaire // par contre // si je vois un élève // euh bah voilà monsieur les études n'ont pas très bien marché // moi je suis je sors de troisième // mais // euh ben euh je m'entends pas bien avec les professeurs ou avec maman // et puis alors deux ans de retard scolaire et puis alors ça ne va pas du tout en français // ou pas du tout en maths et puis // euh ben je ne suis pas admis à passer en seconde s- // bon puis j'arrive d'Algérie par exemple ou // euh j'ai déménagé j'ai été malade // bon // alors là il faut absolument voir // les aptitudes de l'enfant // faut l'étudier un point de vue psychologique voyez-vous ? // pour voir si c'est une blessure caractérielle superficielle ou profonde // si y a un conflit avec des parents ou avec des professeurs // si euh // si les aptitudes // coïncident avec le résultat scolaire // sont meilleures ou sont moins bonnes // et à ce moment-là // les // conseillers d'orientation professionnels de l'orientation // ont des moyens d'investigation // particuliers | #spk1 spk2 : psychologiques oui ? // vous vous | #spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ? | #spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est,k2 : que les tests n'est-ce pas ? de psychologie,#spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles | #spk2 : hm | #spk1 : voilà ce qu'on appelle les aptitudes // autrement dit un élève peut ètre // intelligent et mauvais élève en classe // bon y a quelquefois ça ne marche pas // un test nous dira voilà // c'est un élève intelligent // bon il est le dernier de la classe il veut pas tr- // il il ne veut pas travailler ça arrive quelquefois // alors // faut savoir // si on doit l'encourager à faire des études // si les aptitudes de l'enfant // son intelligence hein // sont meilleures que ses résultats scolaires // hein ça vaut la peine // de s'accrocher // comme on dit familièrement n'est-ce pas ? // pour la poursuite d'études // si au contraire on s'aperçoit que // vraiment les aptitudes intellectuelles sont à la hauteur de // des résultats scolaires // bah il y a lieu d'envisager des débouchés plus // modestes // vous voyez c'est ça c'est à ça ce que ça sert | #spk2 : hm hm | #spk1 : et et nous t- nous travaillons ensemble en somme voyez-vous ?,spontané,Martin
120,#spk1 spk2 : psychologiques oui ? // vous vous | #spk2 : vous avez parlé des des aptitudes // pourriez-vous définir euh // ce que ce qu'on veut dire // par euh aptitudes ? | #spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est | #spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr,on leur donne par exemple des petits mécanismes n'est-ce pas ?,#spk2 : hm | #spk1 : voilà ce qu'on appelle les aptitudes // autrement dit un élève peut ètre // intelligent et mauvais élève en classe // bon y a quelquefois ça ne marche pas // un test nous dira voilà // c'est un élève intelligent // bon il est le dernier de la classe il veut pas tr- // il il ne veut pas travailler ça arrive quelquefois // alors // faut savoir // si on doit l'encourager à faire des études // si les aptitudes de l'enfant // son intelligence hein // sont meilleures que ses résultats scolaires // hein ça vaut la peine // de s'accrocher // comme on dit familièrement n'est-ce pas ? // pour la poursuite d'études // si au contraire on s'aperçoit que // vraiment les aptitudes intellectuelles sont à la hauteur de // des résultats scolaires // bah il y a lieu d'envisager des débouchés plus // modestes // vous voyez c'est ça c'est à ça ce que ça sert | #spk2 : hm hm | #spk1 : et et nous t- nous travaillons ensemble en somme voyez-vous ? | #spk2 : oui,spontané,Martin
121,#spk2 spk1 : dans ce contexte-là // alors là il faudrait demander justement | #spk1 : aux conseillers d'orientation professionnelle // moi je ne suis pas psychologue // mais enfin en gros // ça décis- // ça consiste à savoir // si l'enfant a une attention // normale // une mémoire visuelle normale // et une mémoire auditive // normale // voyez-vous ? grâce à des procédés justement on leur fait // lire des textes on leur fait // chercher des petites choses dans les expériences particulières // vous savez bien ce que c'est | #spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr | #spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles | #spk2 : hm,comme on dit familièrement n'est-ce pas ?,#spk2 : hm hm | #spk1 : et et nous t- nous travaillons ensemble en somme voyez-vous ? | #spk2 : oui | #spk1 spk2 : quand // oui ? // alors is- ici | #spk2 : c'est c'est surtout les élèves qui viennent ou bien les parents aussi ?,spontané,Martin
122,#spk1 spk2 : que les tests n'est-ce pas ? de psychologie // oui oui oui // alors on voit je vous dis le // oui bien sûr | #spk1 : euh leur euh // capacité // verbale // leur aptitude au raisonnement // on leur donne par exemple des petits mécanismes n'est-ce pas ? // il faut qu'ils disent dans quel sens tournent les roues vous voyez ce que je veux dire // donc aptitudes verbales // aptitudes intellectuelles aptitudes de mémoire aptitudes d'attention // et cetera // voyez-vous ? // puis un minimum d'habileté manuelle parfois aussi // on leur fait faire des petites choses manuelles | #spk2 : hm | #spk1 : voilà ce qu'on appelle les aptitudes // autrement dit un élève peut ètre // intelligent et mauvais élève en classe // bon y a quelquefois ça ne marche pas // un test nous dira voilà // c'est un élève intelligent // bon il est le dernier de la classe il veut pas tr- // il il ne veut pas travailler ça arrive quelquefois // alors // faut savoir // si on doit l'encourager à faire des études // si les aptitudes de l'enfant // son intelligence hein // sont meilleures que ses résultats scolaires // hein ça vaut la peine // de s'accrocher // comme on dit familièrement n'est-ce pas ? // pour la poursuite d'études // si au contraire on s'aperçoit que // vraiment les aptitudes intellectuelles sont à la hauteur de // des résultats scolaires // bah il y a lieu d'envisager des débouchés plus // modestes // vous voyez c'est ça c'est à ça ce que ça sert | #spk2 : hm hm,et et nous t- nous travaillons ensemble en somme voyez-vous ?,#spk2 : oui | #spk1 spk2 : quand // oui ? // alors is- ici | #spk2 : c'est c'est surtout les élèves qui viennent ou bien les parents aussi ? | #spk1 : oh les deux | #spk2 : les deux,spontané,Xingyu
123,#spk1 : voilà ce qu'on appelle les aptitudes // autrement dit un élève peut ètre // intelligent et mauvais élève en classe // bon y a quelquefois ça ne marche pas // un test nous dira voilà // c'est un élève intelligent // bon il est le dernier de la classe il veut pas tr- // il il ne veut pas travailler ça arrive quelquefois // alors // faut savoir // si on doit l'encourager à faire des études // si les aptitudes de l'enfant // son intelligence hein // sont meilleures que ses résultats scolaires // hein ça vaut la peine // de s'accrocher // comme on dit familièrement n'est-ce pas ? // pour la poursuite d'études // si au contraire on s'aperçoit que // vraiment les aptitudes intellectuelles sont à la hauteur de // des résultats scolaires // bah il y a lieu d'envisager des débouchés plus // modestes // vous voyez c'est ça c'est à ça ce que ça sert | #spk2 : hm hm | #spk1 : et et nous t- nous travaillons ensemble en somme voyez-vous ? | #spk2 : oui | #spk1 spk2 : quand // oui ? // alors is- ici,c'est c'est surtout les élèves qui viennent ou bien les parents aussi ?,#spk1 : oh les deux | #spk2 : les deux | #spk1 : les deux | #spk2 spk1 : pourquoi ? // et s- | #spk1 : parce que là c'est une question // ça // de de tempérament individuel // je vois des garçons et des jeunes filles de // quatorze ou quinze ans // qui viennent me voir // touts seuls // voilà monsieur moi,spontané,Xingyu
124,#spk1 spk2 : quand // oui ? // alors is- ici | #spk2 : c'est c'est surtout les élèves qui viennent ou bien les parents aussi ? | #spk1 : oh les deux | #spk2 : les deux | #spk1 : les deux,k1 : pourquoi ?,#spk1 : parce que là c'est une question // ça // de de tempérament individuel // je vois des garçons et des jeunes filles de // quatorze ou quinze ans // qui viennent me voir // touts seuls // voilà monsieur moi | #spk1 spk2 : monsieur je voudrais ètre euh // oui | #spk1 : hôtesse de l'air hein // je veux ètre hôtesse de vol // bien la jeune fille a quinze ans et vient me trouver // l'autre jour deux jeunes filles que nous avons reçues // euh on veut ètre euh // on veut ètre dans l'armée // on veut ètre parachutistes on veut ètre // mais enfin mesdemoiselles oui oui on veut // on veut faire comme les hommes // bien deux jeunes filles qui sont arrivées à quinze ans // décidées elles veulent // elles voulaient s'en- s'engager dans l'armée // dans l'armée dans l'armée // y avait // je les ai amenées ici dans ce bureau // bon une elle veut ètre dans l'armée // et puis on veut // oui on veut voler on veut p- // ètre parachutistes et cetera // bon // elles se sont décidées toutes seules // bien puis alors par contre // je vois de // des parents qui viennent // euh voilà j'ai mon fils qui a vingt-deux ans n'est-ce pas ? // il est en deuxième année de faculté // alors euh je voudrais savoir si // enfin je dis madame pourquoi votre fils ne vient pas ? // oh bah vous savez il est timide il ne // non et puis enfin c'est moi qui m'occupe de // ah eh bien madame // voyez-vous ? // voilà je vous prends les deux cas extrèmes | #spk2 spk1 : ah oui oui // par oùje pars parfois c'est le père et la mère | #spk1 : qui viennent // euh surtout dans les populations rurales,spontané,Xingyu
