,previous_5_turn,question,next_5_turn,categorie
0,#spk4 : monsieur,depuis combien de temps habitez-vous Orléans ?,#spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à Orléans ? | #spk1 : oui et non | #spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais,préparé
1,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante,vous vous plaisez à  Orléans ?,#spk4 : pourquoi ça ? | #spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : Hm,préparé
2,#spk4 : monsieur | #spk4 : depuis combien de temps habitez-vous Orléans ? | #spk1 : oh ça fait neuf ans depuis dix neuf cent soixante | #spk4 : vous vous plaisez à  Orléans ? | #spk1 : oui et non,pourquoi ça ?,#spk1 : bah parce que // j'ai // j'ai toujours euh // je suis Lorrain // alors j'ai // je suis né en Lorraine et puis j'ai toujours été en Lorraine // et je préfère la Lorraine à l'Orléanais | #spk4 : et est-ce que vous comptez rester à Orléans ? | #spk1 : oh je suis obligé par ma profession | #spk4 : hm | #spk4 :,spontané
372,#spk1 : sixième cinquième quatrième troisième // bon // à ce moment-là on peut présenter un concours // pour entrer dans une école normale primaire // on fait quatre ans // tro- seconde première // classe terminale // baccalauréat // le mème que les autres // mais préparé dans une école normale primaire // et un an de préparation professionnelle // donc les instituteurs // c'est de l'enseignement moderne c'est en latin // et // ont une formation donc assez particulière // à la fois littéraire et scientifique puisqu'ils enseignent tout // voilà ça c'est l'instituteur // et en principe il n'enseignera que dans le premier degré // jusqu'à ce qui était le couronnement dit // normal de ces études primaires le certificat d'études primaires // qui était la gloire des familles // oùon affichait ça dans la salle à manger // on mettait un beau cadre // et on avait le certificat d'études primaires // c'était le brevet qui couronnait l'enseignement // primaire // voyez-vous ? // c'était ça // puis alors les professeurs // alors les professeurs // enseignent au contraire vont // ne vont pas à l'école normale // sauf exception n'y vont pas // ils vont au lycée // dans les lycées // et après les lycées ils vont à la faculté // ils font des études en faculté // passent des licences agrégations Capes // et enseignent dans les // lycées et collèges // c'est-à -dire le second cycle // non ça euh pardon le // premier cycle et le second cycle // de l'enseignement du second degré // sixième cinquième quatrième troisième seconde première et classe terminale // ça c'est le professeur // puis alors entre les deux // c'est tr- un c'est un peu plus compliqué bien sûr // entre les deux // vous savez peut-ètre que l'on a // multiplié les // établissements de premier cycle | #spk4 : hm | #spk1 : qu'on appelle les collèges // il est en train de se pass- // euh se passer en France une // une très grande révolution pédagogique // euh jadis // vous aviez les lycées qui commençaient à la sixième et qui allaient jusqu'au baccalauréat // bon // et actuellement on est en train de séparer tout le premier cycle // et alors on crée des établissements qui sont // seulement de premier cycle // collège d'enseignement général // et collège d'enseignement secondaire // et ça remplace peu à peu // le premier cycle de nos lycées // si bien que les lycées resteront uniquement // pour les classes // de second cycle // classe de seconde // classe de première // et classe terminale menant au baccalauréat // voyez-vous ? // euh y a une expression commode c'est ce qu'on appelle // les Italiens appellent ça la scuala media | #spk2 : oui | #spk1 spk2 : hein c'est l'école moyenne // oui,middle school you lose the word ?,#spk2 spk1 : en américain // middle school non | #spk1 : américain the middle school middle school middle school hein // entre l'école primaire et | #spk1 spk4 : le second cycle // hm oui c'est ça // alors // hm | #spk1 : de plus en plus ça va se développer en France | #spk2 : hm hm,spontané
373,#spk1 spk4 : le second cycle // hm oui c'est ça // alors // hm | #spk1 : de plus en plus ça va se développer en France | #spk2 : hm hm | #spk1 : et tous les enfants // devront aller dans ces écoles | #spk1 spk4 : et ils ne resteront plus // hm,vous voyez ?,#spk4 : oui | #spk1 : alors // je reviens à votre question précise // dans ces collèges eh bien // on a ouvert beaucoup de ces collèges depuis dix ans en France // n'est-ce pas ? pour démocratiser l'enseignement // et on a mis sur pla- // autrefois pour aller faire des études // en sixième cinquième il fallait souvent aller pensionnaire // dans un lycée à cent ou cent cinquante kilomètres // actuellement y a un collège à dix ou quinze kilomètres // presque partout // vous verrez ma carte | #spk1 spk2 : je vous montrerai ma carte // oui | #spk1 : y a des collèges presque partout // bon mais alors // on a ouvert ces collèges euh // par exemple il y a dix ans en // dans dans l- ce département // ici on a ouvert trente collèges en en deux ans // bon // qui // mettre comme professeurs là -dedans ? | #spk4 : c'est ça,non-question
374,#spk2 : hm hm | #spk1 : et tous les enfants // devront aller dans ces écoles | #spk1 spk4 : et ils ne resteront plus // hm | #spk1 : à l'école primaire jusqu'à quatorze ans // passer le certificat d'études // c'est pourquoi je vous disais que le certificat d'études // va disparaître // du bas // il n'y aura plus que vraiment des élèves qui qui // qui ne pourraient pas // faire // entrer dans ces collèges et faire ces classes de sixième cinquième quatrième troisième // tous nos enfants à onze ans // dix ans onze ans ou douze ans // entreront dans ces écoles moyennes // ils y passeront quatre ans // sixième cinquième quatrième et troisième // et alors là un grand aiguillage // certains continueront vers // les // dans les lycées // vers le baccalauréat // baccalauréat // classique // moderne // littéraire // scientifique // ou technique // d'autres passeront des // baccalauréats de technicien // qui sont des sortes de brevets techniques // et d'autres apprendront un métier plus vite // vous voyez ? // et tous les enfants passeront dans ces quatre classes // tous ceux qui peuvent | #spk4 : oui,n'est-ce pas ? pour démocratiser l'enseignement,#spk1 spk2 : je vous montrerai ma carte // oui | #spk1 : y a des collèges presque partout // bon mais alors // on a ouvert ces collèges euh // par exemple il y a dix ans en // dans dans l- ce département // ici on a ouvert trente collèges en en deux ans // bon // qui // mettre comme professeurs là -dedans ? | #spk4 : c'est ça | #spk1 : bon // ben ce qu'on a pu // vous pensez bien // ce qu'on a pu // avec le développement de la scolarité n'est-ce pas ? // le nombre d'élèves qui arrivait // alors y a des professeurs de lycée // alors y a des professeurs non titulaires // alors y a des instituteurs // que l'on a promus professeurs de collège // voyez-vous ? // et alors y a y a un personnel très varié // mais ils s'appellent professeurs | #spk1 spk4 : si ils sont dans un collège // ah,non-question
375,#spk1 spk4 : et ils ne resteront plus // hm | #spk1 : à l'école primaire jusqu'à quatorze ans // passer le certificat d'études // c'est pourquoi je vous disais que le certificat d'études // va disparaître // du bas // il n'y aura plus que vraiment des élèves qui qui // qui ne pourraient pas // faire // entrer dans ces collèges et faire ces classes de sixième cinquième quatrième troisième // tous nos enfants à onze ans // dix ans onze ans ou douze ans // entreront dans ces écoles moyennes // ils y passeront quatre ans // sixième cinquième quatrième et troisième // et alors là un grand aiguillage // certains continueront vers // les // dans les lycées // vers le baccalauréat // baccalauréat // classique // moderne // littéraire // scientifique // ou technique // d'autres passeront des // baccalauréats de technicien // qui sont des sortes de brevets techniques // et d'autres apprendront un métier plus vite // vous voyez ? // et tous les enfants passeront dans ces quatre classes // tous ceux qui peuvent | #spk4 : oui | #spk1 : alors // je reviens à votre question précise // dans ces collèges eh bien // on a ouvert beaucoup de ces collèges depuis dix ans en France // n'est-ce pas ? pour démocratiser l'enseignement // et on a mis sur pla- // autrefois pour aller faire des études // en sixième cinquième il fallait souvent aller pensionnaire // dans un lycée à cent ou cent cinquante kilomètres // actuellement y a un collège à dix ou quinze kilomètres // presque partout // vous verrez ma carte | #spk1 spk2 : je vous montrerai ma carte // oui,mettre comme professeurs là -dedans ?,#spk4 : c'est ça | #spk1 : bon // ben ce qu'on a pu // vous pensez bien // ce qu'on a pu // avec le développement de la scolarité n'est-ce pas ? // le nombre d'élèves qui arrivait // alors y a des professeurs de lycée // alors y a des professeurs non titulaires // alors y a des instituteurs // que l'on a promus professeurs de collège // voyez-vous ? // et alors y a y a un personnel très varié // mais ils s'appellent professeurs | #spk1 spk4 : si ils sont dans un collège // ah | #spk2 spk4 : alors euh // c'est toujours le | #spk2 : est-ce qu'il y a oui // est-ce qu'il y a euh // un sentiment de solidarité // entre tous ces professeurs,spontané
376,#spk4 : oui | #spk1 : alors // je reviens à votre question précise // dans ces collèges eh bien // on a ouvert beaucoup de ces collèges depuis dix ans en France // n'est-ce pas ? pour démocratiser l'enseignement // et on a mis sur pla- // autrefois pour aller faire des études // en sixième cinquième il fallait souvent aller pensionnaire // dans un lycée à cent ou cent cinquante kilomètres // actuellement y a un collège à dix ou quinze kilomètres // presque partout // vous verrez ma carte | #spk1 spk2 : je vous montrerai ma carte // oui | #spk1 : y a des collèges presque partout // bon mais alors // on a ouvert ces collèges euh // par exemple il y a dix ans en // dans dans l- ce département // ici on a ouvert trente collèges en en deux ans // bon // qui // mettre comme professeurs là -dedans ? | #spk4 : c'est ça,avec le développement de la scolarité n'est-ce pas ?,#spk1 spk4 : si ils sont dans un collège // ah | #spk2 spk4 : alors euh // c'est toujours le | #spk2 : est-ce qu'il y a oui // est-ce qu'il y a euh // un sentiment de solidarité // entre tous ces professeurs | #spk2 spk1 : de différents ni- niveaux ? y a un // non non non | #spk1 : non non non on sent le le // mais vous ètes gen- hein hein // non // pas assez // on espère // on espère que maintenant il va se former un cadre au collège // parce que c'est récent ça encore y a sept huit ans dix ans pas plus c'est pas // on espère qu'il va y avoir cadre collège mais // ah vous venez du lycée ah // vous venez de l'école primaire // ben eh // y en a qui sont venus de l'école primaire et qui ont un peu grimpé // y en a qui sont venus du lycée // ils ont un peu hein,spontané
377,#spk4 : oui | #spk1 : alors // je reviens à votre question précise // dans ces collèges eh bien // on a ouvert beaucoup de ces collèges depuis dix ans en France // n'est-ce pas ? pour démocratiser l'enseignement // et on a mis sur pla- // autrefois pour aller faire des études // en sixième cinquième il fallait souvent aller pensionnaire // dans un lycée à cent ou cent cinquante kilomètres // actuellement y a un collège à dix ou quinze kilomètres // presque partout // vous verrez ma carte | #spk1 spk2 : je vous montrerai ma carte // oui | #spk1 : y a des collèges presque partout // bon mais alors // on a ouvert ces collèges euh // par exemple il y a dix ans en // dans dans l- ce département // ici on a ouvert trente collèges en en deux ans // bon // qui // mettre comme professeurs là -dedans ? | #spk4 : c'est ça,voyez-vous ?,#spk1 spk4 : si ils sont dans un collège // ah | #spk2 spk4 : alors euh // c'est toujours le | #spk2 : est-ce qu'il y a oui // est-ce qu'il y a euh // un sentiment de solidarité // entre tous ces professeurs | #spk2 spk1 : de différents ni- niveaux ? y a un // non non non | #spk1 : non non non on sent le le // mais vous ètes gen- hein hein // non // pas assez // on espère // on espère que maintenant il va se former un cadre au collège // parce que c'est récent ça encore y a sept huit ans dix ans pas plus c'est pas // on espère qu'il va y avoir cadre collège mais // ah vous venez du lycée ah // vous venez de l'école primaire // ben eh // y en a qui sont venus de l'école primaire et qui ont un peu grimpé // y en a qui sont venus du lycée // ils ont un peu hein,non-question
378,#spk4 : c'est ça | #spk1 : bon // ben ce qu'on a pu // vous pensez bien // ce qu'on a pu // avec le développement de la scolarité n'est-ce pas ? // le nombre d'élèves qui arrivait // alors y a des professeurs de lycée // alors y a des professeurs non titulaires // alors y a des instituteurs // que l'on a promus professeurs de collège // voyez-vous ? // et alors y a y a un personnel très varié // mais ils s'appellent professeurs | #spk1 spk4 : si ils sont dans un collège // ah | #spk2 spk4 : alors euh // c'est toujours le | #spk2 : est-ce qu'il y a oui // est-ce qu'il y a euh // un sentiment de solidarité // entre tous ces professeurs,k1 : de différents ni- niveaux ? y a un,#spk1 : non non non on sent le le // mais vous ètes gen- hein hein // non // pas assez // on espère // on espère que maintenant il va se former un cadre au collège // parce que c'est récent ça encore y a sept huit ans dix ans pas plus c'est pas // on espère qu'il va y avoir cadre collège mais // ah vous venez du lycée ah // vous venez de l'école primaire // ben eh // y en a qui sont venus de l'école primaire et qui ont un peu grimpé // y en a qui sont venus du lycée // ils ont un peu hein | #spk2 : | #spk1 : alors ça pose des questions de personnel // et on voudrait justement un cadre unique pour que le // ou presque unique enfin voyez-vous ? // ça ça pose une question // enfin dès qu'on n'est plus à l'école primaire ça s'appelle professeur // alors vous connaissez la // je me permets de vous signaler ce petit détail // monsieur // monsieur X // professeur au lycée // et monsieur le professeur X // de la faculté | #spk1 : vous savez qu'en France que un professeur ne s'appelle pas monsieur le professeur | #spk1 : dans un lycée c'est // c'est ridicule y a quelques parents // pour me flatter monsieur le professeur // mais j'aime pas ça là moi je suis professeur de lycée // alors monsieur Laurent je m'appelle Laurent // monsieur Laurent professeur de lycée // si j'étais professeur de faculté // je serais monsieur le professeur Laurent,préparé
379,#spk2 spk4 : alors euh // c'est toujours le | #spk2 : est-ce qu'il y a oui // est-ce qu'il y a euh // un sentiment de solidarité // entre tous ces professeurs | #spk2 spk1 : de différents ni- niveaux ? y a un // non non non | #spk1 : non non non on sent le le // mais vous ètes gen- hein hein // non // pas assez // on espère // on espère que maintenant il va se former un cadre au collège // parce que c'est récent ça encore y a sept huit ans dix ans pas plus c'est pas // on espère qu'il va y avoir cadre collège mais // ah vous venez du lycée ah // vous venez de l'école primaire // ben eh // y en a qui sont venus de l'école primaire et qui ont un peu grimpé // y en a qui sont venus du lycée // ils ont un peu hein | #spk2 :,ou presque unique enfin voyez-vous ?,#spk1 : vous savez qu'en France que un professeur ne s'appelle pas monsieur le professeur | #spk1 : dans un lycée c'est // c'est ridicule y a quelques parents // pour me flatter monsieur le professeur // mais j'aime pas ça là moi je suis professeur de lycée // alors monsieur Laurent je m'appelle Laurent // monsieur Laurent professeur de lycée // si j'étais professeur de faculté // je serais monsieur le professeur Laurent | #spk1 spk4 : à la faculté de // ah oui | #spk1 : le mot d'un on a fait précéder le mot le nom // du mot professeur // que dans l'enseignement supérieur // monsieur le professeur // quand on appelle quelqu'un monsieur le professeur // c'est un professeur de l'enseignement supérieur // voyez-vous ? | #spk2 spk1 : ça alors euh // de faculté,non-question
380,#spk2 : | #spk1 : alors ça pose des questions de personnel // et on voudrait justement un cadre unique pour que le // ou presque unique enfin voyez-vous ? // ça ça pose une question // enfin dès qu'on n'est plus à l'école primaire ça s'appelle professeur // alors vous connaissez la // je me permets de vous signaler ce petit détail // monsieur // monsieur X // professeur au lycée // et monsieur le professeur X // de la faculté | #spk1 : vous savez qu'en France que un professeur ne s'appelle pas monsieur le professeur | #spk1 : dans un lycée c'est // c'est ridicule y a quelques parents // pour me flatter monsieur le professeur // mais j'aime pas ça là moi je suis professeur de lycée // alors monsieur Laurent je m'appelle Laurent // monsieur Laurent professeur de lycée // si j'étais professeur de faculté // je serais monsieur le professeur Laurent | #spk1 spk4 : à la faculté de // ah oui,voyez-vous ?,#spk2 spk1 : ça alors euh // de faculté | #spk2 : avec toutes les gammes de euh professeurs de différentes sortes | #spk2 spk1 : de // oui | #spk2 : est-ce qu'il y a euh euh des // est-ce qu'il est-ce que les professeurs en France tendent à avoir des // des opinions politiques euh bien définies ? | #spk1 : question individuelle aussi // euh en pour résumer si vous voulez // grossièrement les choses // les professeurs et les instituteurs en France // sont toujours passés pour des gens de gauche et révolutionnaires // par rapport au secteur commercial par rapport aux commerçants // par rapport aux industriels // par rapport aux agriculteurs // l'Education nationale les professeurs c'est des rouges // très euh c'est // des révolutionnaires // oui je ne sais pas si c'est en Angleterre comme ça mais // des intellectuels dangereux // vous voyez ce que je veux dire en gros // en réalité // on est laïque on a des opinions idéalistes si vous voulez // mais // on est très traditionaliste sur notre métier // et il est très difficile d'avoir dans l'enseignement français // parce que la plupart des professeurs sont traditionalistes // on aime ce qu'on a // appris // et ce que l'on continue d'enseigner // et une nouveauté // on n'aime pas les nouveautés faut l'avouer // on n'aime pas les nouveautés je ne sais pas si en Angleterre,non-question
381,#spk1 spk4 : à la faculté de // ah oui | #spk1 : le mot d'un on a fait précéder le mot le nom // du mot professeur // que dans l'enseignement supérieur // monsieur le professeur // quand on appelle quelqu'un monsieur le professeur // c'est un professeur de l'enseignement supérieur // voyez-vous ? | #spk2 spk1 : ça alors euh // de faculté | #spk2 : avec toutes les gammes de euh professeurs de différentes sortes | #spk2 spk1 : de // oui,des opinions politiques euh bien définies ?,#spk1 : question individuelle aussi // euh en pour résumer si vous voulez // grossièrement les choses // les professeurs et les instituteurs en France // sont toujours passés pour des gens de gauche et révolutionnaires // par rapport au secteur commercial par rapport aux commerçants // par rapport aux industriels // par rapport aux agriculteurs // l'Education nationale les professeurs c'est des rouges // très euh c'est // des révolutionnaires // oui je ne sais pas si c'est en Angleterre comme ça mais // des intellectuels dangereux // vous voyez ce que je veux dire en gros // en réalité // on est laïque on a des opinions idéalistes si vous voulez // mais // on est très traditionaliste sur notre métier // et il est très difficile d'avoir dans l'enseignement français // parce que la plupart des professeurs sont traditionalistes // on aime ce qu'on a // appris // et ce que l'on continue d'enseigner // et une nouveauté // on n'aime pas les nouveautés faut l'avouer // on n'aime pas les nouveautés je ne sais pas si en Angleterre | #spk1 spk4 : c'est comme ça // hm | #spk2 : oui on est | #spk1 spk2 : un changement de programme // hm | #spk1 : ça affole les professeurs,spontané
382,#spk1 : ça affole les professeurs | #spk1 spk2 : on n'aime pas ça // oui | #spk1 : on n'aime pas ça // on dit oui c'est peut-ètre très bien mais enfin // ouais non oh vous savez moi j'avais une méthode hein ah là là // ah // hein ma méthode hein vous r- on n'aime pas changer et // f- faut dire que du point de vue politique // les les enseignants français // ont toujours passé pour des hommes de gauche ou d'extrème-gauche // et // finalement dans la vie pratique // et dans l'exercice de leur métier // on peut dire que l'enseignement est un secteur très traditionnel // c'est une corporation très traditionaliste // oui | #spk2 : hm | #spk1 : je sais pas si c'est comme ça chez vous,k1 : si un peu ?,#spk2 spk4 : oui un peu // comme | #spk1 : comment s'établit et cette question d'opposi- // la question des classes // aussi dont vous avez parlé un peu // euh // quelles sortes de // de classes est-ce que vous voyez dans la société française | #spk4 spk1 : actuellement ? | #spk2 : est-ce qu'il y a est-ce qu'on peut parler du mot classe ? | #spk1 spk4 : ah oui // toujours // ah oui oui encore oui // oui ?,spontané
383,#spk2 : hm | #spk1 : je sais pas si c'est comme ça chez vous | #spk2 spk1 : oui // si un peu ? | #spk2 spk4 : oui un peu // comme | #spk1 : comment s'établit et cette question d'opposi- // la question des classes // aussi dont vous avez parlé un peu // euh // quelles sortes de // de classes est-ce que vous voyez dans la société française,k1 : actuellement ?,#spk2 : est-ce qu'il y a est-ce qu'on peut parler du mot classe ? | #spk1 spk4 : ah oui // toujours // ah oui oui encore oui // oui ? | #spk1 : encore // surtout si vous voulez // façon de // façon de penser // de se comporter // façon // plus que peut-ètre façon de vivre | #spk1 spk4 : le le au fond le les // hm | #spk1 : la consommation d'un ménage ouvrier // est à peu près la mème // dans certains cas pas tous bien sûr // un ouvrier bien payé // aura si vous voulez // un train de vie // enfin // et des biens matériels à peu près les mèmes // qu'un bourgeois // ce qu'on appelait un bourgeois // et par contre il aura // souvent des façons de penser différentes // et la condition ouvrière est tout de mème // la condition ouvrière,spontané
384,#spk1 : je sais pas si c'est comme ça chez vous | #spk2 spk1 : oui // si un peu ? | #spk2 spk4 : oui un peu // comme | #spk1 : comment s'établit et cette question d'opposi- // la question des classes // aussi dont vous avez parlé un peu // euh // quelles sortes de // de classes est-ce que vous voyez dans la société française | #spk4 spk1 : actuellement ?,est-ce qu'il y a est-ce qu'on peut parler du mot classe ?,#spk1 spk4 : ah oui // toujours // ah oui oui encore oui // oui ? | #spk1 : encore // surtout si vous voulez // façon de // façon de penser // de se comporter // façon // plus que peut-ètre façon de vivre | #spk1 spk4 : le le au fond le les // hm | #spk1 : la consommation d'un ménage ouvrier // est à peu près la mème // dans certains cas pas tous bien sûr // un ouvrier bien payé // aura si vous voulez // un train de vie // enfin // et des biens matériels à peu près les mèmes // qu'un bourgeois // ce qu'on appelait un bourgeois // et par contre il aura // souvent des façons de penser différentes // et la condition ouvrière est tout de mème // la condition ouvrière | #spk4 : non,préparé
385,#spk1 : encore // surtout si vous voulez // façon de // façon de penser // de se comporter // façon // plus que peut-ètre façon de vivre | #spk1 spk4 : le le au fond le les // hm | #spk1 : la consommation d'un ménage ouvrier // est à peu près la mème // dans certains cas pas tous bien sûr // un ouvrier bien payé // aura si vous voulez // un train de vie // enfin // et des biens matériels à peu près les mèmes // qu'un bourgeois // ce qu'on appelait un bourgeois // et par contre il aura // souvent des façons de penser différentes // et la condition ouvrière est tout de mème // la condition ouvrière | #spk4 : non | #spk1 spk4 : ah bon // hm,oui y a tout de mème n'est-ce pas ?,#spk1 spk2 : quelquefois ? oui // oui oui oui | #spk1 : avez-vous vu cette courbe des consommations il y a quelques jours ? | #spk1 spk4 : dans Le Monde // ah non quelques jours nous non nous étions | #spk2 : oui oui | #spk1 :,spontané
386,#spk1 spk4 : le le au fond le les // hm | #spk1 : la consommation d'un ménage ouvrier // est à peu près la mème // dans certains cas pas tous bien sûr // un ouvrier bien payé // aura si vous voulez // un train de vie // enfin // et des biens matériels à peu près les mèmes // qu'un bourgeois // ce qu'on appelait un bourgeois // et par contre il aura // souvent des façons de penser différentes // et la condition ouvrière est tout de mème // la condition ouvrière | #spk4 : non | #spk1 spk4 : ah bon // hm | #spk1 : oui y a tout de mème n'est-ce pas ? // y a des conditions la condition ouvrière est tout de mème sévère // hein // je voyais // si je sais pas si vous a- // vous lisez Le Monde,k2 : quelquefois ? oui,#spk1 : avez-vous vu cette courbe des consommations il y a quelques jours ? | #spk1 spk4 : dans Le Monde // ah non quelques jours nous non nous étions | #spk2 : oui oui | #spk1 : | #spk1 spk2 : vous avez vu dans le bas d'une page là ? // oui oui // c'est incroyable // oui mais je,préparé
387,#spk1 : la consommation d'un ménage ouvrier // est à peu près la mème // dans certains cas pas tous bien sûr // un ouvrier bien payé // aura si vous voulez // un train de vie // enfin // et des biens matériels à peu près les mèmes // qu'un bourgeois // ce qu'on appelait un bourgeois // et par contre il aura // souvent des façons de penser différentes // et la condition ouvrière est tout de mème // la condition ouvrière | #spk4 : non | #spk1 spk4 : ah bon // hm | #spk1 : oui y a tout de mème n'est-ce pas ? // y a des conditions la condition ouvrière est tout de mème sévère // hein // je voyais // si je sais pas si vous a- // vous lisez Le Monde | #spk1 spk2 : quelquefois ? oui // oui oui oui,avez-vous vu cette courbe des consommations il y a quelques jours ?,#spk1 spk4 : dans Le Monde // ah non quelques jours nous non nous étions | #spk2 : oui oui | #spk1 : | #spk1 spk2 : vous avez vu dans le bas d'une page là ? // oui oui // c'est incroyable // oui mais je | #spk1 : je le croyais pas moi-mème // vous avez vu comme c'est bas ?,préparé
388,#spk1 spk2 : quelquefois ? oui // oui oui oui | #spk1 : avez-vous vu cette courbe des consommations il y a quelques jours ? | #spk1 spk4 : dans Le Monde // ah non quelques jours nous non nous étions | #spk2 : oui oui | #spk1 :,k2 : vous avez vu dans le bas d'une page là ?,#spk1 : je le croyais pas moi-mème // vous avez vu comme c'est bas ? | #spk2 : oui | #spk1 : oh // je l'ai gardée d'ailleurs si vous en aviez besoin je l'ai cette étude quelque part dans mes papiers // vous avez vu cette courbe ? // elle est af- elle est effrayante // euh cinquante mille quarante mille cinquante mille // anciens francs enfin admettons quatre cents francs cinq cents francs bon // par mois // puis on arrive à // cent francs par mois // par tète n'est-ce pas ? vous savez par euh // par | #spk1 spk4 : personne de consommateur // hm hm | #spk1 : on croirait que la courbe est comme ça pas du tout elle est comme ça,préparé
389,#spk1 : avez-vous vu cette courbe des consommations il y a quelques jours ? | #spk1 spk4 : dans Le Monde // ah non quelques jours nous non nous étions | #spk2 : oui oui | #spk1 : | #spk1 spk2 : vous avez vu dans le bas d'une page là ? // oui oui // c'est incroyable // oui mais je,vous avez vu comme c'est bas ?,#spk2 : oui | #spk1 : oh // je l'ai gardée d'ailleurs si vous en aviez besoin je l'ai cette étude quelque part dans mes papiers // vous avez vu cette courbe ? // elle est af- elle est effrayante // euh cinquante mille quarante mille cinquante mille // anciens francs enfin admettons quatre cents francs cinq cents francs bon // par mois // puis on arrive à // cent francs par mois // par tète n'est-ce pas ? vous savez par euh // par | #spk1 spk4 : personne de consommateur // hm hm | #spk1 : on croirait que la courbe est comme ça pas du tout elle est comme ça | #spk2 : oui,préparé
390,#spk2 : oui oui | #spk1 : | #spk1 spk2 : vous avez vu dans le bas d'une page là ? // oui oui // c'est incroyable // oui mais je | #spk1 : je le croyais pas moi-mème // vous avez vu comme c'est bas ? | #spk2 : oui,vous avez vu cette courbe ?,#spk1 spk4 : personne de consommateur // hm hm | #spk1 : on croirait que la courbe est comme ça pas du tout elle est comme ça | #spk2 : oui | #spk1 spk2 : c'est-à -dire qu'il y a une très grande // vous | #spk1 : p- la plus grande partie de la population // a vraiment des revenus bas // par conséquent la condition ouvrière est quand mème toujours très sévère // voyez-vous ? // euh les gens qui ont des sa- des salaires très // modestes // hein,préparé
391,#spk2 : oui oui | #spk1 : | #spk1 spk2 : vous avez vu dans le bas d'une page là ? // oui oui // c'est incroyable // oui mais je | #spk1 : je le croyais pas moi-mème // vous avez vu comme c'est bas ? | #spk2 : oui,par tète n'est-ce pas ? vous savez par euh,#spk1 spk4 : personne de consommateur // hm hm | #spk1 : on croirait que la courbe est comme ça pas du tout elle est comme ça | #spk2 : oui | #spk1 spk2 : c'est-à -dire qu'il y a une très grande // vous | #spk1 : p- la plus grande partie de la population // a vraiment des revenus bas // par conséquent la condition ouvrière est quand mème toujours très sévère // voyez-vous ? // euh les gens qui ont des sa- des salaires très // modestes // hein,préparé
392,#spk1 : oh // je l'ai gardée d'ailleurs si vous en aviez besoin je l'ai cette étude quelque part dans mes papiers // vous avez vu cette courbe ? // elle est af- elle est effrayante // euh cinquante mille quarante mille cinquante mille // anciens francs enfin admettons quatre cents francs cinq cents francs bon // par mois // puis on arrive à // cent francs par mois // par tète n'est-ce pas ? vous savez par euh // par | #spk1 spk4 : personne de consommateur // hm hm | #spk1 : on croirait que la courbe est comme ça pas du tout elle est comme ça | #spk2 : oui | #spk1 spk2 : c'est-à -dire qu'il y a une très grande // vous,voyez-vous ?,#spk2 spk1 : oui // et les | #spk1 : façons de vivre ne sont pas les mèmes // ne sont pas les mèmes // mais // pratiquement ben automobile // comme si on pouvait pas le deviner | #spk2 : oui | #spk1 : oui y a tout de mème encore des classes c'est pas douteux // ben chez vous aussi | #spk2 spk1 : chez nous aussi // bah oui,non-question
393,#spk2 spk1 : oui // et les | #spk1 : façons de vivre ne sont pas les mèmes // ne sont pas les mèmes // mais // pratiquement ben automobile // comme si on pouvait pas le deviner | #spk2 : oui | #spk1 : oui y a tout de mème encore des classes c'est pas douteux // ben chez vous aussi | #spk2 spk1 : chez nous aussi // bah oui,k2 : n'est-ce pas ? mais oui,#spk1 spk2 : oui // et euh | #spk4 : ça tient surtout aux conditions de vie vous pensez ? | #spk1 : oui je crois | #spk4 : oui | #spk1 : conditions // psychologiques,non-question
394,#spk2 : oui | #spk1 : oui y a tout de mème encore des classes c'est pas douteux // ben chez vous aussi | #spk2 spk1 : chez nous aussi // bah oui | #spk1 spk2 : n'est-ce pas ? mais oui // y a des oui | #spk1 spk2 : oui // et euh,ça tient surtout aux conditions de vie vous pensez ?,#spk1 : oui je crois | #spk4 : oui | #spk1 : conditions // psychologiques | #spk1 spk4 : hm // oui | #spk1 spk2 : façon de concevoir la vie // est-ce que,spontané
395,#spk1 : oui je crois | #spk4 : oui | #spk1 : conditions // psychologiques | #spk1 spk4 : hm // oui | #spk1 spk2 : façon de concevoir la vie // est-ce que,peut-ètre voyez-vous ?,#spk2 : oui // est-ce que le | #spk1 spk2 : c'est difficile ça // bon | #spk1 : vous savez j'ai pas d'opinion | #spk1 spk2 : très nette là -dessus // non euh vous | #spk1 spk2 : je peux pas vous donner de de loi générale je ne sais pas // hm hm,poubelle
